Date,GameType,AwayScore,AwayTeam,HomeScore,HomeTeam,VenueName,AwayHR,HomeHR
2014-05-15,Regular Season,4,Miami Marlins,6,San Francisco Giants,AT&T Park,2,1
2014-05-16,Regular Season,4,Milwaukee Brewers,3,Chicago Cubs,Wrigley Field,0,2
2014-05-16,Regular Season,3,Cincinnati Reds,0,Philadelphia Phillies,Citizens Bank Park,1,0
2014-05-16,Regular Season,2,New York Mets,5,Washington Nationals,Nationals Park,0,0
2014-05-16,Regular Season,11,Oakland Athletics,1,Cleveland Indians,Progressive Field,4,1
2014-05-16,Regular Season,1,Detroit Tigers,0,Boston Red Sox,Fenway Park,0,0
2014-05-16,Regular Season,2,Toronto Blue Jays,0,Texas Rangers,Globe Life Park in Arlington,0,0
2014-05-16,Regular Season,4,Baltimore Orioles,0,Kansas City Royals,Kauffman Stadium,1,0
2014-05-16,Regular Season,7,Chicago White Sox,2,Houston Astros,Minute Maid Park,1,0
2014-05-16,Regular Season,4,Seattle Mariners,5,Minnesota Twins,Target Field,0,2
2014-05-16,Regular Season,2,Atlanta Braves,5,St. Louis Cardinals,Busch Stadium,0,0
2014-05-16,Regular Season,1,San Diego Padres,3,Colorado Rockies,Coors Field,0,0
2014-05-16,Regular Season,7,Los Angeles Dodgers,0,Arizona Diamondbacks,Chase Field,2,0
2014-05-16,Regular Season,3,Tampa Bay Rays,0,Los Angeles Angels,Angel Stadium of Anaheim,1,0
2014-05-16,Regular Season,7,Miami Marlins,5,San Francisco Giants,AT&T Park,2,0
2014-05-17,Regular Season,1,Atlanta Braves,4,St. Louis Cardinals,Busch Stadium,0,0
2014-05-17,Regular Season,0,Milwaukee Brewers,3,Chicago Cubs,Wrigley Field,0,0
2014-05-17,Regular Season,5,New York Mets,2,Washington Nationals,Nationals Park,1,1
2014-05-17,Regular Season,1,Pittsburgh Pirates,7,New York Yankees,Yankee Stadium,1,5
2014-05-17,Regular Season,5,Chicago White Sox,6,Houston Astros,Minute Maid Park,0,2
2014-05-17,Regular Season,1,Cincinnati Reds,12,Philadelphia Phillies,Citizens Bank Park,0,2
2014-05-17,Regular Season,6,Oakland Athletics,2,Cleveland Indians,Progressive Field,1,0
2014-05-17,Regular Season,0,Baltimore Orioles,1,Kansas City Royals,Kauffman Stadium,0,0
2014-05-17,Regular Season,6,Detroit Tigers,1,Boston Red Sox,Fenway Park,1,1
2014-05-17,Regular Season,3,Seattle Mariners,4,Minnesota Twins,Target Field,1,1
2014-05-17,Regular Season,4,Toronto Blue Jays,2,Texas Rangers,Globe Life Park in Arlington,1,0
2014-05-17,Regular Season,7,Los Angeles Dodgers,18,Arizona Diamondbacks,Chase Field,2,5
2014-05-17,Regular Season,8,San Diego Padres,5,Colorado Rockies,Coors Field,2,1
2014-05-17,Regular Season,5,Miami Marlins,0,San Francisco Giants,AT&T Park,1,0
2014-05-17,Regular Season,0,Tampa Bay Rays,6,Los Angeles Angels,Angel Stadium of Anaheim,0,1
2014-05-18,Regular Season,3,Pittsburgh Pirates,4,New York Yankees,Yankee Stadium,2,0
2014-05-18,Regular Season,5,Pittsburgh Pirates,3,New York Yankees,Yankee Stadium,2,1
2014-05-18,Regular Season,13,Oakland Athletics,3,Cleveland Indians,Progressive Field,0,2
2014-05-18,Regular Season,3,Cincinnati Reds,8,Philadelphia Phillies,Citizens Bank Park,0,4
2014-05-18,Regular Season,3,New York Mets,6,Washington Nationals,Nationals Park,0,1
2014-05-18,Regular Season,6,Baltimore Orioles,8,Kansas City Royals,Kauffman Stadium,1,2
2014-05-18,Regular Season,2,Chicago White Sox,8,Houston Astros,Minute Maid Park,0,3
2014-05-18,Regular Season,6,Seattle Mariners,2,Minnesota Twins,Target Field,0,0
2014-05-18,Regular Season,6,Atlanta Braves,5,St. Louis Cardinals,Busch Stadium,2,0
2014-05-18,Regular Season,2,Milwaukee Brewers,4,Chicago Cubs,Wrigley Field,1,2
2014-05-18,Regular Season,2,Toronto Blue Jays,6,Texas Rangers,Globe Life Park in Arlington,2,1
2014-05-18,Regular Season,2,Tampa Bay Rays,6,Los Angeles Angels,Angel Stadium of Anaheim,1,2
2014-05-18,Regular Season,1,Miami Marlins,4,San Francisco Giants,AT&T Park,0,1
2014-05-18,Regular Season,3,Los Angeles Dodgers,5,Arizona Diamondbacks,Chase Field,2,2
2014-05-18,Regular Season,6,San Diego Padres,8,Colorado Rockies,Coors Field,3,3
2014-05-18,Regular Season,6,Detroit Tigers,2,Boston Red Sox,Fenway Park,2,0
2014-05-19,Regular Season,4,Cincinnati Reds,3,Washington Nationals,Nationals Park,1,0
2014-05-19,Regular Season,4,Detroit Tigers,5,Cleveland Indians,Progressive Field,2,1
2014-05-19,Regular Season,3,Milwaukee Brewers,9,Atlanta Braves,Turner Field,2,3
2014-05-19,Regular Season,7,Chicago White Sox,6,Kansas City Royals,Kauffman Stadium,3,0
2014-05-19,Regular Season,5,Houston Astros,2,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2014-05-20,Regular Season,9,Baltimore Orioles,2,Pittsburgh Pirates,PNC Park,4,1
2014-05-20,Regular Season,4,Cincinnati Reds,9,Washington Nationals,Nationals Park,0,0
2014-05-20,Regular Season,2,Detroit Tigers,6,Cleveland Indians,Progressive Field,2,1
2014-05-20,Regular Season,9,Los Angeles Dodgers,4,New York Mets,Citi Field,1,2
2014-05-20,Regular Season,0,Milwaukee Brewers,5,Atlanta Braves,Turner Field,0,2
2014-05-20,Regular Season,3,Oakland Athletics,0,Tampa Bay Rays,Tropicana Field,0,0
2014-05-20,Regular Season,6,Philadelphia Phillies,5,Miami Marlins,Marlins Park,1,0
2014-05-20,Regular Season,7,Toronto Blue Jays,4,Boston Red Sox,Fenway Park,4,1
2014-05-20,Regular Season,1,New York Yankees,6,Chicago Cubs,Wrigley Field,0,0
2014-05-20,Regular Season,6,Seattle Mariners,2,Texas Rangers,Globe Life Park in Arlington,0,1
2014-05-20,Regular Season,7,Chicago White Sox,6,Kansas City Royals,Kauffman Stadium,2,0
2014-05-20,Regular Season,0,Arizona Diamondbacks,5,St. Louis Cardinals,Busch Stadium,0,2
2014-05-20,Regular Season,4,San Francisco Giants,5,Colorado Rockies,Coors Field,0,1
2014-05-20,Regular Season,3,Houston Astros,9,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2014-05-20,Regular Season,5,Minnesota Twins,3,San Diego Padres,Petco Park,2,0
2014-05-21,Regular Season,10,Detroit Tigers,11,Cleveland Indians,Progressive Field,3,2
2014-05-21,Regular Season,3,Seattle Mariners,4,Texas Rangers,Globe Life Park in Arlington,1,2
2014-05-21,Regular Season,4,New York Yankees,2,Chicago Cubs,Wrigley Field,0,0
2014-05-21,Regular Season,2,Cincinnati Reds,1,Washington Nationals,Nationals Park,0,1
2014-05-21,Regular Season,8,Baltimore Orioles,9,Pittsburgh Pirates,PNC Park,1,0
2014-05-21,Regular Season,4,Los Angeles Dodgers,3,New York Mets,Citi Field,3,1
2014-05-21,Regular Season,6,Milwaukee Brewers,1,Atlanta Braves,Turner Field,2,0
2014-05-21,Regular Season,3,Oakland Athletics,2,Tampa Bay Rays,Tropicana Field,1,0
2014-05-21,Regular Season,5,Philadelphia Phillies,14,Miami Marlins,Marlins Park,1,1
2014-05-21,Regular Season,6,Toronto Blue Jays,4,Boston Red Sox,Fenway Park,2,1
2014-05-21,Regular Season,1,Chicago White Sox,3,Kansas City Royals,Kauffman Stadium,0,0
2014-05-21,Regular Season,2,Arizona Diamondbacks,3,St. Louis Cardinals,Busch Stadium,1,0
2014-05-21,Regular Season,5,San Francisco Giants,1,Colorado Rockies,Coors Field,3,0
2014-05-21,Regular Season,2,Minnesota Twins,0,San Diego Padres,Petco Park,1,0
2014-05-21,Regular Season,1,Houston Astros,2,Los Angeles Angels,Angel Stadium of Anaheim,1,1
2014-05-22,Regular Season,3,Philadelphia Phillies,4,Miami Marlins,Marlins Park,1,1
2014-05-22,Regular Season,9,Texas Rangers,2,Detroit Tigers,Comerica Park,1,0
2014-05-22,Regular Season,4,San Francisco Giants,2,Colorado Rockies,Coors Field,1,0
2014-05-22,Regular Season,7,Toronto Blue Jays,2,Boston Red Sox,Fenway Park,2,1
2014-05-22,Regular Season,2,Oakland Athletics,5,Tampa Bay Rays,Tropicana Field,0,1
2014-05-22,Regular Season,8,Cleveland Indians,7,Baltimore Orioles,Oriole Park at Camden Yards,2,2
2014-05-22,Regular Season,1,Washington Nationals,3,Pittsburgh Pirates,PNC Park,1,0
2014-05-22,Regular Season,3,Los Angeles Dodgers,5,New York Mets,Citi Field,1,0
2014-05-22,Regular Season,4,Milwaukee Brewers,5,Atlanta Braves,Turner Field,0,1
2014-05-22,Regular Season,2,Arizona Diamondbacks,4,St. Louis Cardinals,Busch Stadium,0,0
2014-05-22,Regular Season,2,New York Yankees,3,Chicago White Sox,U.S. Cellular Field,0,0
2014-05-22,Regular Season,5,Chicago Cubs,1,San Diego Padres,Petco Park,1,1
2014-05-22,Regular Season,1,Houston Astros,3,Seattle Mariners,Safeco Field,1,0
2014-05-23,Regular Season,4,Cleveland Indians,8,Baltimore Orioles,Oriole Park at Camden Yards,1,2
2014-05-23,Regular Season,2,Los Angeles Dodgers,0,Philadelphia Phillies,Citizens Bank Park,1,0
2014-05-23,Regular Season,3,Washington Nationals,4,Pittsburgh Pirates,PNC Park,0,1
2014-05-23,Regular Season,2,Oakland Athletics,3,Toronto Blue Jays,Rogers Centre,1,1
2014-05-23,Regular Season,2,Texas Rangers,7,Detroit Tigers,Comerica Park,0,2
2014-05-23,Regular Season,0,Boston Red Sox,1,Tampa Bay Rays,Tropicana Field,0,0
2014-05-23,Regular Season,9,Milwaukee Brewers,5,Miami Marlins,Marlins Park,3,4
2014-05-23,Regular Season,3,St. Louis Cardinals,5,Cincinnati Reds,Great American Ball Park,0,2
2014-05-23,Regular Season,2,Colorado Rockies,3,Atlanta Braves,Turner Field,1,0
2014-05-23,Regular Season,5,New York Yankees,6,Chicago White Sox,U.S. Cellular Field,1,2
2014-05-23,Regular Season,1,Kansas City Royals,6,Los Angeles Angels,Angel Stadium of Anaheim,0,2
2014-05-23,Regular Season,1,Chicago Cubs,11,San Diego Padres,Petco Park,0,2
2014-05-23,Regular Season,1,Houston Astros,6,Seattle Mariners,Safeco Field,0,1
2014-05-23,Regular Season,2,Minnesota Twins,6,San Francisco Giants,AT&T Park,0,2
2014-05-24,Regular Season,9,Cleveland Indians,0,Baltimore Orioles,Oriole Park at Camden Yards,1,0
2014-05-24,Regular Season,2,Oakland Athletics,5,Toronto Blue Jays,Rogers Centre,1,1
2014-05-24,Regular Season,4,New York Yankees,3,Chicago White Sox,U.S. Cellular Field,1,0
2014-05-24,Regular Season,3,Los Angeles Dodgers,5,Philadelphia Phillies,Citizens Bank Park,0,1
2014-05-24,Regular Season,12,Texas Rangers,2,Detroit Tigers,Comerica Park,2,0
2014-05-24,Regular Season,3,Arizona Diamondbacks,2,New York Mets,Citi Field,0,1
2014-05-24,Regular Season,5,Boston Red Sox,6,Tampa Bay Rays,Tropicana Field,1,0
2014-05-24,Regular Season,3,Colorado Rockies,1,Atlanta Braves,Turner Field,2,0
2014-05-24,Regular Season,1,Milwaukee Brewers,2,Miami Marlins,Marlins Park,0,0
2014-05-24,Regular Season,7,Kansas City Royals,4,Los Angeles Angels,Angel Stadium of Anaheim,0,2
2014-05-24,Regular Season,6,St. Louis Cardinals,3,Cincinnati Reds,Great American Ball Park,1,1
2014-05-24,Regular Season,2,Washington Nationals,3,Pittsburgh Pirates,PNC Park,1,1
2014-05-24,Regular Season,1,Minnesota Twins,2,San Francisco Giants,AT&T Park,1,1
2014-05-24,Regular Season,3,Chicago Cubs,2,San Diego Padres,Petco Park,1,1
2014-05-24,Regular Season,9,Houston Astros,4,Seattle Mariners,Safeco Field,2,0
2014-05-25,Regular Season,2,Arizona Diamondbacks,1,New York Mets,Citi Field,1,0
2014-05-25,Regular Season,2,Arizona Diamondbacks,4,New York Mets,Citi Field,0,0
2014-05-25,Regular Season,1,Oakland Athletics,3,Toronto Blue Jays,Rogers Centre,1,1
2014-05-25,Regular Season,12,Texas Rangers,4,Detroit Tigers,Comerica Park,1,0
2014-05-25,Regular Season,7,Milwaukee Brewers,1,Miami Marlins,Marlins Park,0,1
2014-05-25,Regular Season,2,Cleveland Indians,4,Baltimore Orioles,Oriole Park at Camden Yards,0,2
2014-05-25,Regular Season,6,Los Angeles Dodgers,0,Philadelphia Phillies,Citizens Bank Park,1,0
2014-05-25,Regular Season,5,Washington Nationals,2,Pittsburgh Pirates,PNC Park,0,1
2014-05-25,Regular Season,5,Boston Red Sox,8,Tampa Bay Rays,Tropicana Field,1,2
2014-05-25,Regular Season,7,New York Yankees,1,Chicago White Sox,U.S. Cellular Field,1,0
2014-05-25,Regular Season,3,Kansas City Royals,4,Los Angeles Angels,Angel Stadium of Anaheim,0,1
2014-05-25,Regular Season,1,Minnesota Twins,8,San Francisco Giants,AT&T Park,0,1
2014-05-25,Regular Season,3,Chicago Cubs,4,San Diego Padres,Petco Park,2,0
2014-05-25,Regular Season,4,Houston Astros,1,Seattle Mariners,Safeco Field,2,0
2014-05-25,Regular Season,0,Colorado Rockies,7,Atlanta Braves,Turner Field,0,4
2014-05-25,Regular Season,4,St. Louis Cardinals,0,Cincinnati Reds,Great American Ball Park,0,0
2014-05-26,Regular Season,8,Boston Red Sox,6,Atlanta Braves,Turner Field,1,0
2014-05-26,Regular Season,5,Pittsburgh Pirates,3,New York Mets,Citi Field,1,1
2014-05-26,Regular Season,3,Miami Marlins,2,Washington Nationals,Nationals Park,1,1
2014-05-26,Regular Season,7,Baltimore Orioles,6,Milwaukee Brewers,Miller Park,2,2
2014-05-26,Regular Season,2,Cleveland Indians,6,Chicago White Sox,U.S. Cellular Field,0,1
2014-05-26,Regular Season,7,Texas Rangers,2,Minnesota Twins,Target Field,0,1
2014-05-26,Regular Season,8,Chicago Cubs,4,San Francisco Giants,AT&T Park,1,1
2014-05-26,Regular Season,0,Detroit Tigers,10,Oakland Athletics,O.co Coliseum,0,5
2014-05-26,Regular Season,1,Los Angeles Angels,5,Seattle Mariners,Safeco Field,1,0
2014-05-26,Regular Season,6,New York Yankees,4,St. Louis Cardinals,Busch Stadium,0,0
2014-05-26,Regular Season,0,Colorado Rockies,9,Philadelphia Phillies,Citizens Bank Park,0,2
2014-05-26,Regular Season,5,Tampa Bay Rays,10,Toronto Blue Jays,Rogers Centre,3,3
2014-05-26,Regular Season,3,Cincinnati Reds,4,Los Angeles Dodgers,Dodger Stadium,0,0
2014-05-26,Regular Season,9,Houston Astros,2,Kansas City Royals,Kauffman Stadium,1,0
2014-05-26,Regular Season,5,San Diego Padres,7,Arizona Diamondbacks,Chase Field,2,1
2014-05-27,Regular Season,6,Colorado Rockies,2,Philadelphia Phillies,Citizens Bank Park,1,2
2014-05-27,Regular Season,6,Tampa Bay Rays,9,Toronto Blue Jays,Rogers Centre,0,3
2014-05-27,Regular Season,6,Boston Red Sox,3,Atlanta Braves,Turner Field,0,1
2014-05-27,Regular Season,2,Pittsburgh Pirates,4,New York Mets,Citi Field,0,0
2014-05-27,Regular Season,6,Baltimore Orioles,7,Milwaukee Brewers,Miller Park,2,3
2014-05-27,Regular Season,1,Cleveland Indians,2,Chicago White Sox,U.S. Cellular Field,0,1
2014-05-27,Regular Season,3,Houston Astros,0,Kansas City Royals,Kauffman Stadium,0,0
2014-05-27,Regular Season,3,Texas Rangers,4,Minnesota Twins,Target Field,0,1
2014-05-27,Regular Season,0,New York Yankees,6,St. Louis Cardinals,Busch Stadium,0,2
2014-05-27,Regular Season,4,San Diego Padres,3,Arizona Diamondbacks,Chase Field,1,1
2014-05-27,Regular Season,6,Detroit Tigers,5,Oakland Athletics,O.co Coliseum,2,1
2014-05-27,Regular Season,6,Los Angeles Angels,4,Seattle Mariners,Safeco Field,1,1
2014-05-27,Regular Season,3,Cincinnati Reds,6,Los Angeles Dodgers,Dodger Stadium,1,1
2014-05-27,Regular Season,0,Chicago Cubs,4,San Francisco Giants,AT&T Park,0,0
2014-05-28,Regular Season,0,Pittsburgh Pirates,5,New York Mets,Citi Field,0,2
2014-05-28,Regular Season,9,Houston Astros,3,Kansas City Royals,Kauffman Stadium,3,1
2014-05-28,Regular Season,0,Chicago Cubs,5,San Francisco Giants,AT&T Park,0,0
2014-05-28,Regular Season,3,Colorado Rockies,6,Philadelphia Phillies,Citizens Bank Park,2,1
2014-05-28,Regular Season,8,Miami Marlins,5,Washington Nationals,Nationals Park,0,1
2014-05-28,Regular Season,2,Tampa Bay Rays,3,Toronto Blue Jays,Rogers Centre,1,0
2014-05-28,Regular Season,0,Atlanta Braves,4,Boston Red Sox,Fenway Park,0,0
2014-05-28,Regular Season,3,Baltimore Orioles,8,Milwaukee Brewers,Miller Park,2,1
2014-05-28,Regular Season,2,Cleveland Indians,3,Chicago White Sox,U.S. Cellular Field,1,0
2014-05-28,Regular Season,1,Texas Rangers,0,Minnesota Twins,Target Field,0,0
2014-05-28,Regular Season,7,New York Yankees,4,St. Louis Cardinals,Busch Stadium,0,0
2014-05-28,Regular Season,6,San Diego Padres,12,Arizona Diamondbacks,Chase Field,1,2
2014-05-28,Regular Season,1,Detroit Tigers,3,Oakland Athletics,O.co Coliseum,1,1
2014-05-28,Regular Season,1,Los Angeles Angels,3,Seattle Mariners,Safeco Field,0,1
2014-05-28,Regular Season,3,Cincinnati Reds,2,Los Angeles Dodgers,Dodger Stadium,1,1
2014-05-29,Regular Season,5,Texas Rangers,4,Minnesota Twins,Target Field,0,1
2014-05-29,Regular Season,5,Detroit Tigers,4,Oakland Athletics,O.co Coliseum,0,1
2014-05-29,Regular Season,4,New York Mets,1,Philadelphia Phillies,Citizens Bank Park,1,1
2014-05-29,Regular Season,8,Kansas City Royals,6,Toronto Blue Jays,Rogers Centre,1,3
2014-05-29,Regular Season,3,Atlanta Braves,4,Boston Red Sox,Fenway Park,1,0
2014-05-29,Regular Season,1,Baltimore Orioles,3,Houston Astros,Minute Maid Park,0,1
2014-05-29,Regular Season,6,San Francisco Giants,5,St. Louis Cardinals,Busch Stadium,2,1
2014-05-29,Regular Season,0,Cincinnati Reds,4,Arizona Diamondbacks,Chase Field,0,1
2014-05-29,Regular Season,7,Los Angeles Angels,5,Seattle Mariners,Safeco Field,1,2
2014-05-29,Regular Season,6,Pittsburgh Pirates,3,Los Angeles Dodgers,Dodger Stadium,2,0
2014-05-30,Regular Season,2,Colorado Rockies,5,Cleveland Indians,Progressive Field,1,1
2014-05-30,Regular Season,6,Minnesota Twins,1,New York Yankees,Yankee Stadium,3,0
2014-05-30,Regular Season,5,New York Mets,6,Philadelphia Phillies,Citizens Bank Park,0,1
2014-05-30,Regular Season,2,Texas Rangers,9,Washington Nationals,Nationals Park,0,1
2014-05-30,Regular Season,6,Kansas City Royals,1,Toronto Blue Jays,Rogers Centre,2,1
2014-05-30,Regular Season,3,Atlanta Braves,2,Miami Marlins,Marlins Park,0,1
2014-05-30,Regular Season,2,Tampa Bay Rays,3,Boston Red Sox,Fenway Park,0,0
2014-05-30,Regular Season,1,Baltimore Orioles,2,Houston Astros,Minute Maid Park,0,0
2014-05-30,Regular Season,5,Chicago Cubs,11,Milwaukee Brewers,Miller Park,1,1
2014-05-30,Regular Season,4,San Diego Padres,1,Chicago White Sox,U.S. Cellular Field,2,0
2014-05-30,Regular Season,9,San Francisco Giants,4,St. Louis Cardinals,Busch Stadium,1,0
2014-05-30,Regular Season,6,Cincinnati Reds,4,Arizona Diamondbacks,Chase Field,2,0
2014-05-30,Regular Season,5,Los Angeles Angels,9,Oakland Athletics,O.co Coliseum,2,3
2014-05-30,Regular Season,6,Detroit Tigers,3,Seattle Mariners,Safeco Field,3,1
2014-05-30,Regular Season,2,Pittsburgh Pirates,1,Los Angeles Dodgers,Dodger Stadium,1,0
2014-05-31,Regular Season,2,Texas Rangers,10,Washington Nationals,Nationals Park,0,4
2014-05-31,Regular Season,1,Minnesota Twins,3,New York Yankees,Yankee Stadium,0,1
2014-05-31,Regular Season,2,Kansas City Royals,12,Toronto Blue Jays,Rogers Centre,0,0
2014-05-31,Regular Season,4,San Diego Padres,2,Chicago White Sox,U.S. Cellular Field,0,0
2014-05-31,Regular Season,0,San Francisco Giants,2,St. Louis Cardinals,Busch Stadium,0,1
2014-05-31,Regular Season,6,Colorado Rockies,7,Cleveland Indians,Progressive Field,2,2
2014-05-31,Regular Season,5,New York Mets,4,Philadelphia Phillies,Citizens Bank Park,1,1
2014-05-31,Regular Season,9,Atlanta Braves,5,Miami Marlins,Marlins Park,0,0
2014-05-31,Regular Season,4,Baltimore Orioles,1,Houston Astros,Minute Maid Park,1,0
2014-05-31,Regular Season,8,Chicago Cubs,0,Milwaukee Brewers,Miller Park,2,0
2014-05-31,Regular Season,2,Pittsburgh Pirates,12,Los Angeles Dodgers,Dodger Stadium,0,2
2014-05-31,Regular Season,1,Tampa Bay Rays,7,Boston Red Sox,Fenway Park,1,2
2014-05-31,Regular Season,3,Los Angeles Angels,11,Oakland Athletics,O.co Coliseum,1,2
2014-05-31,Regular Season,5,Cincinnati Reds,0,Arizona Diamondbacks,Chase Field,0,0
2014-05-31,Regular Season,2,Detroit Tigers,3,Seattle Mariners,Safeco Field,1,0
2014-06-01,Regular Season,4,Colorado Rockies,6,Cleveland Indians,Progressive Field,1,1
2014-06-01,Regular Season,7,Minnesota Twins,2,New York Yankees,Yankee Stadium,1,0
2014-06-01,Regular Season,0,Kansas City Royals,4,Toronto Blue Jays,Rogers Centre,0,2
2014-06-01,Regular Season,4,Atlanta Braves,2,Miami Marlins,Marlins Park,1,1
2014-06-01,Regular Season,4,New York Mets,3,Philadelphia Phillies,Citizens Bank Park,1,2
2014-06-01,Regular Season,0,Tampa Bay Rays,4,Boston Red Sox,Fenway Park,0,0
2014-06-01,Regular Season,2,Texas Rangers,0,Washington Nationals,Nationals Park,1,0
2014-06-01,Regular Season,9,Baltimore Orioles,4,Houston Astros,Minute Maid Park,2,1
2014-06-01,Regular Season,0,Chicago Cubs,9,Milwaukee Brewers,Miller Park,0,2
2014-06-01,Regular Season,1,San Diego Padres,4,Chicago White Sox,U.S. Cellular Field,1,2
2014-06-01,Regular Season,8,San Francisco Giants,0,St. Louis Cardinals,Busch Stadium,0,0
2014-06-01,Regular Season,3,Los Angeles Angels,6,Oakland Athletics,O.co Coliseum,0,1
2014-06-01,Regular Season,4,Cincinnati Reds,3,Arizona Diamondbacks,Chase Field,4,0
2014-06-01,Regular Season,0,Detroit Tigers,4,Seattle Mariners,Safeco Field,0,1
2014-06-01,Regular Season,5,Pittsburgh Pirates,3,Los Angeles Dodgers,Dodger Stadium,2,1
2014-06-02,Regular Season,11,New York Mets,2,Philadelphia Phillies,Citizens Bank Park,1,0
2014-06-02,Regular Season,10,Seattle Mariners,2,New York Yankees,Yankee Stadium,2,0
2014-06-02,Regular Season,2,Boston Red Sox,3,Cleveland Indians,Progressive Field,1,0
2014-06-02,Regular Season,1,Tampa Bay Rays,3,Miami Marlins,Marlins Park,0,0
2014-06-02,Regular Season,2,Minnesota Twins,6,Milwaukee Brewers,Miller Park,0,2
2014-06-02,Regular Season,6,Kansas City Royals,0,St. Louis Cardinals,Busch Stadium,1,0
2014-06-02,Regular Season,2,Chicago White Sox,5,Los Angeles Dodgers,Dodger Stadium,1,0
2014-06-02,Regular Season,10,Pittsburgh Pirates,3,San Diego Padres,Petco Park,1,0
2014-06-03,Regular Season,3,Boston Red Sox,5,Cleveland Indians,Progressive Field,1,0
2014-06-03,Regular Season,5,Oakland Athletics,2,New York Yankees,Yankee Stadium,2,1
2014-06-03,Regular Season,0,Philadelphia Phillies,7,Washington Nationals,Nationals Park,0,2
2014-06-03,Regular Season,5,Toronto Blue Jays,3,Detroit Tigers,Comerica Park,1,1
2014-06-03,Regular Season,7,Seattle Mariners,5,Atlanta Braves,Turner Field,2,2
2014-06-03,Regular Season,3,San Francisco Giants,8,Cincinnati Reds,Great American Ball Park,1,1
2014-06-03,Regular Season,0,Tampa Bay Rays,1,Miami Marlins,Marlins Park,0,0
2014-06-03,Regular Season,8,Kansas City Royals,7,St. Louis Cardinals,Busch Stadium,1,2
2014-06-03,Regular Season,8,Baltimore Orioles,3,Texas Rangers,Globe Life Park in Arlington,2,2
2014-06-03,Regular Season,1,New York Mets,2,Chicago Cubs,Wrigley Field,0,1
2014-06-03,Regular Season,2,Los Angeles Angels,7,Houston Astros,Minute Maid Park,2,2
2014-06-03,Regular Season,6,Minnesota Twins,4,Milwaukee Brewers,Miller Park,2,0
2014-06-03,Regular Season,4,Arizona Diamondbacks,2,Colorado Rockies,Coors Field,2,2
2014-06-03,Regular Season,4,Chicago White Sox,1,Los Angeles Dodgers,Dodger Stadium,2,0
2014-06-03,Regular Season,4,Pittsburgh Pirates,1,San Diego Padres,Petco Park,2,0
2014-06-04,Regular Season,2,Seattle Mariners,0,Atlanta Braves,Turner Field,0,0
2014-06-04,Regular Season,2,Pittsburgh Pirates,3,San Diego Padres,Petco Park,1,0
2014-06-04,Regular Season,4,Boston Red Sox,7,Cleveland Indians,Progressive Field,1,1
2014-06-04,Regular Season,7,Oakland Athletics,4,New York Yankees,Yankee Stadium,3,1
2014-06-04,Regular Season,4,Philadelphia Phillies,8,Washington Nationals,Nationals Park,1,1
2014-06-04,Regular Season,8,Toronto Blue Jays,2,Detroit Tigers,Comerica Park,1,2
2014-06-04,Regular Season,5,Miami Marlins,4,Tampa Bay Rays,Tropicana Field,1,2
2014-06-04,Regular Season,3,San Francisco Giants,2,Cincinnati Reds,Great American Ball Park,2,1
2014-06-04,Regular Season,6,Baltimore Orioles,5,Texas Rangers,Globe Life Park in Arlington,2,2
2014-06-04,Regular Season,4,New York Mets,5,Chicago Cubs,Wrigley Field,1,0
2014-06-04,Regular Season,4,Los Angeles Angels,0,Houston Astros,Minute Maid Park,0,0
2014-06-04,Regular Season,4,Milwaukee Brewers,6,Minnesota Twins,Target Field,1,1
2014-06-04,Regular Season,5,St. Louis Cardinals,2,Kansas City Royals,Kauffman Stadium,0,0
2014-06-04,Regular Season,16,Arizona Diamondbacks,8,Colorado Rockies,Coors Field,2,0
2014-06-04,Regular Season,2,Chicago White Sox,1,Los Angeles Dodgers,Dodger Stadium,2,0
2014-06-05,Regular Season,6,San Francisco Giants,1,Cincinnati Reds,Great American Ball Park,2,1
2014-06-05,Regular Season,1,Oakland Athletics,2,New York Yankees,Yankee Stadium,1,1
2014-06-05,Regular Season,7,Toronto Blue Jays,3,Detroit Tigers,Comerica Park,3,0
2014-06-05,Regular Season,2,Philadelphia Phillies,4,Washington Nationals,Nationals Park,1,1
2014-06-05,Regular Season,11,Miami Marlins,6,Tampa Bay Rays,Tropicana Field,2,2
2014-06-05,Regular Season,4,New York Mets,7,Chicago Cubs,Wrigley Field,1,2
2014-06-05,Regular Season,5,Los Angeles Angels,8,Houston Astros,Minute Maid Park,0,0
2014-06-05,Regular Season,6,Baltimore Orioles,8,Texas Rangers,Globe Life Park in Arlington,2,1
2014-06-05,Regular Season,8,Milwaukee Brewers,5,Minnesota Twins,Target Field,3,1
2014-06-05,Regular Season,2,St. Louis Cardinals,3,Kansas City Royals,Kauffman Stadium,0,0
2014-06-05,Regular Season,12,Arizona Diamondbacks,7,Colorado Rockies,Coors Field,3,3
2014-06-06,Regular Season,3,Miami Marlins,5,Chicago Cubs,Wrigley Field,0,1
2014-06-06,Regular Season,5,Milwaukee Brewers,15,Pittsburgh Pirates,PNC Park,0,2
2014-06-06,Regular Season,4,Oakland Athletics,3,Baltimore Orioles,Oriole Park at Camden Yards,2,2
2014-06-06,Regular Season,1,St. Louis Cardinals,3,Toronto Blue Jays,Rogers Centre,0,2
